38,57,37
178,177,158
425,403,404
697,718,717
18,14,12
337,315,338
380,359,381
107,106,87
67,66,47
17,14,18
528,552,551
446,469,445
480,503,479
491,470,469
730,749,748
732,750,731
690,689,668
196,540,195
367,345,346
327,349,348
699,678,878
352,353,374
200,180,310
119,139,138
195,176,196
199,180,200
118,137,117
330,309,331
96,97,116
418,396,397
740,200,310
552,576,575
434,435,458
606,582,583
484,485,508
395,394,373
368,369,390
191,210,190
71,72,91
116,115,96
69,88,68
13,12,14
18,19,38
91,90,71
30,11,31
132,133,152
252,230,231
10,9,12
83,103,102
46,65,45
63,44,64
47,27,28
518,541,517
323,324,345
518,519,563
186,187,206
104,84,85
430,429,408
252,253,274
548,571,547
425,449,448
254,468,255
386,364,365
646,647,668
642,757,643
746,763,745
592,615,591
686,685,664
757,620,774
657,591,635
704,724,723
743,760,742
759,741,742
724,704,705
882,877,878
863,862,855
696,695,674
786,801,785
664,665,686
711,731,730
625,624,600
816,801,802
733,714,734
462,485,461
733,732,713
578,577,554
669,648,670
395,396,417
628,649,627
461,485,484
623,624,805
398,820,397
332,331,758
439,463,462
481,482,505
532,508,509
531,554,530
559,583,582
605,604,581
583,584,607
754,755,772
865,864,857
850,858,849
332,758,20
76,95,75
20,39,19
78,98,97
118,138,137
138,157,137
117,137,136
157,176,156
117,116,97
137,157,156
99,80,100
158,157,138
139,140,159
433,411,412
159,140,160
180,179,160
80,310,100
310,160,140
310,180,160
263,242,658
222,244,243
309,287,288
242,636,221
330,329,308
244,266,265
244,288,721
331,309,310
288,244,222
332,353,331
373,394,372
287,309,308
371,392,370
305,284,306
372,394,393
265,286,264
309,288,740
281,302,280
216,540,217
680,658,243
198,197,178
238,237,216
263,241,242
344,323,345
327,305,306
389,367,368
325,303,304
412,411,390
368,347,369
416,437,415
507,484,508
456,455,432
368,346,347
388,366,367
345,324,346
389,388,367
323,322,301
366,345,367
366,344,345
365,343,344
318,340,339
279,301,300
302,324,323
173,174,193
237,236,516
492,235,234
239,260,238
195,540,215
177,196,176
213,492,212
136,137,156
136,155,135
194,193,174
37,56,36
54,73,53
95,114,94
51,52,71
133,153,152
191,192,211
93,74,94
150,169,149
13,33,32
168,169,188
49,29,30
48,28,29
148,167,147
128,147,127
108,89,109
130,131,150
110,130,129
172,152,153
129,130,149
74,93,73
230,252,251
360,339,361
190,209,189
207,206,187
202,223,201
86,66,67
88,107,87
86,105,85
48,47,28
45,65,64
184,165,185
65,66,85
66,86,85
378,357,379
63,62,43
25,6,26
43,23,24
28,9,29
102,82,83
22,3,23
41,22,42
248,249,270
313,334,312
125,126,145
185,165,166
270,291,269
312,334,333
144,145,164
126,107,127
207,228,206
203,225,224
339,360,338
318,296,297
291,270,292
293,294,315
447,423,424
404,383,405
268,247,269
357,335,336
401,443,400
357,336,358
422,443,423
401,400,379
523,546,522
448,424,425
402,381,403
384,406,405
477,454,478
499,498,475
496,495,472
474,450,451
387,365,366
405,427,426
450,473,449
407,408,429
428,451,427
362,340,341
360,381,359
315,316,338
297,444,274
277,255,256
172,191,171
343,322,344
300,301,322
320,321,342
319,318,297
363,362,341
321,299,300
410,431,409
428,452,451
366,365,344
342,321,343
455,454,431
476,499,475
455,478,454
790,621,622
600,624,623
645,666,644
599,623,622
646,625,647
730,729,710
708,709,728
667,689,688
710,729,709
646,667,645
746,728,747
621,620,597
501,477,478
546,547,570
453,452,429
599,598,575
549,573,572
548,547,524
520,544,543
618,739,720
570,547,571
595,619,618
568,657,635
520,497,521
683,682,661
590,589,566
777,793,792
640,661,639
739,757,642
638,660,659
679,700,616
640,639,616
782,783,798
743,724,725
744,726,745
744,762,761
794,795,809
762,763,779
869,868,862
823,822,809
884,883,880
780,779,763
808,807,793
795,794,779
808,793,794
777,761,778
861,862,868
855,856,863
848,856,847
814,827,813
882,881,877
843,831,789
887,878,888
872,871,865
877,871,872
838,848,847
813,826,812
836,835,823
745,727,746
823,835,822
782,798,797
780,763,764
783,766,767
765,747,748
784,783,767
781,796,780
784,799,783
812,825,811
